candidate_id,district,lat,lon,original_lat,original_lon,priority_level,priority_score,gnn_probability,reward_signal,score_drop_penalty,low_impact_penalty,water_penalty,remote_penalty,is_water_cell,is_remote_cell,topo_nearest_m,effective_walk_dist_m,nearest_stop_dist_m,cell_population,terrain_penalty,nearest_ramp_dist_m,road_node,road_connector_m
CAND_0001,Kwai Tsing,22.341259,114.0956496,22.34148000000005,114.09743000000012,High Priority,0.43610954577507277,0.7274350523948669,0.5995158150605359,0.0,9.192646643896296e-14,0.0,0.0,0,0,124.27750512288924,4685.519802743566,1930.0906015014364,91.0559187008707,2.4276165062399944,3340.314499512141,1700638678,184.75242196107874
CAND_0002,Kwai Tsing,22.3503119,114.0866458,22.350480000000065,114.08643000000006,High Priority,0.43278413591946574,0.8189066052436829,0.5577141590044731,0.0,0.023932491633828157,0.0,0.0,0,0,101.07159019587239,4425.1851386005055,1846.0484752090515,93.22674275559686,2.3971121008073126,3256.2723732197564,525275380,29.01591958922982
CAND_0003,Kwai Tsing,22.3520639,114.0868235,22.352480000000067,114.08743000000008,High Priority,0.41581780080338127,0.8108282685279846,0.5493811866129505,0.0,0.029636806328115616,0.0,0.0,0,0,105.7739407515675,4363.134313603651,1985.4805183727408,95.0254867901573,2.1975205866938383,2966.929533651863,7745940717,77.66001376983095
CAND_0004,Tuen Mun,22.3854265,113.9589395,22.386350000000075,113.95687000000044,High Priority,0.41574308815199595,0.7889460921287537,0.5413854166089082,0.0,0.011381609563191508,0.0,0.0,0,0,75.51122672371386,4561.712071047124,1824.6848284188493,45.46684773708876,2.5,1978.7954885360436,1235478922,236.25967807089293
CAND_0005,Tuen Mun,22.4252195,113.9741089,22.427350000000125,113.97387000000052,High Priority,0.3976964339904106,0.7756169438362122,0.5334761227257226,0.0,0.016077461544650274,0.0,0.0,0,0,33.51671861470115,4510.631177876129,1987.2153837271887,46.28927407494181,2.269825009816532,1987.2153837271887,1735279293,238.1700104468529
CAND_0006,Kwai Tsing,22.3553584,114.1369705,22.356480000000072,114.1354300000003,High Priority,0.35285422293595425,0.7216156125068665,0.5384980833300231,0.0,0.035735122915626506,0.0,0.0,0,0,49.585756898100655,4296.797585069721,1956.1734290687407,95.56016426115592,2.196532025851748,3062.336045906264,1704549575,201.62181138856027
CAND_0007,Sha Tin,22.4119903,114.2335345,22.413170000000083,114.23431000000043,High Priority,0.34044419710955787,0.752199113368988,0.5132034228971537,0.0,0.04558771477072436,0.0,0.0,0,0,34.239527516336736,4189.62231762202,1991.0579445198064,85.94062326350308,2.1042191811411355,2459.317821937928,11203944675,153.500041638268
CAND_0008,Wong Tai Sin,22.3406765,114.2157304,22.33943000000001,114.2174600000002,High Priority,0.3223365740735989,0.7494975328445435,0.5796566427579714,0.0,0.1121153990679844,0.0,0.0,0,0,79.57951599485988,3465.942451237839,1400.0681759678782,295.2597177274351,2.475552627172463,2066.383104342248,5291165824,225.51114140621604
CAND_0009,Tsuen Wan,22.3292613,114.0327997,22.33053000000002,114.0345800000002,High Priority,0.31066808890423603,0.8131797909736633,0.451035292750902,0.0,0.05610550935647848,0.0,0.0,0,0,84.17013261124012,4075.2110576950263,1962.654056724348,36.169705049903634,2.076377670192432,1989.4997547303567,1834171360,231.15560818284123
CAND_0010,Sha Tin,22.3969015,114.1764984,22.396170000000065,114.17431000000016,High Priority,0.31018010909666177,0.6935999989509583,0.5151117466531625,0.0,0.047102091441597015,0.0,0.0,0,0,55.23463055510239,4173.1491167522045,1964.5347565443412,85.89318591390149,2.124242955157924,1438.6786448682678,1095991426,239.23567738675246
CAND_0011,Sai Kung,22.3898718,114.2603394,22.38946000000029,114.25812000000018,High Priority,0.30684099387816643,0.8115330934524536,0.4532839988288505,0.0,0.06101478343700237,0.0,0.0,0,0,34.72478415167464,4021.8085855037134,1962.2428227687951,38.03164879978877,2.049597806569524,891.3408465071499,1157190772,232.73107467954554
CAND_0012,Yuen Long,22.4089684,114.0639727,22.40722000000002,114.0642300000009,High Priority,0.30269053175224686,0.795211911201477,0.45214462089872465,0.0,0.05686105158400647,0.0,0.0,0,0,74.53978533366144,4066.9923634169872,1822.1408281436425,42.66959332597786,2.231985750278342,3258.942479800852,4790604951,196.20424595847166
CAND_0013,Sha Tin,22.4078918,114.1997155,22.40817000000008,114.19831000000028,High Priority,0.27010925870140745,0.679620087146759,0.48579394019731714,0.0,0.06004674089094781,0.0,0.0,0,0,105.64510709179848,4032.338831788144,1783.1463384416018,86.03394427531946,2.2613616980602087,2866.7137061429976,1699191510,147.7583097293319
CAND_0014,Yuen Long,22.4409698,113.9796193,22.44122000000006,113.9782300000005,High Priority,0.26900100990563697,0.7567839026451111,0.44010293375897347,0.0,0.06406256265394439,0.0,0.0,0,0,56.393384660045356,3988.655222662616,1998.2652924696804,43.91584315415052,1.996058900534167,3230.377248759455,689765428,145.46964095072065
CAND_0015,Central & Western,22.2754764,114.1442281,22.275080000000028,114.14387000000016,High Priority,0.2617881105862652,0.7110562324523926,0.5042984949732929,0.0,0.09679718833708877,0.0,0.0,0,0,91.98343772105731,3632.572040289022,1979.091512097389,71.69696346759314,2.085766498326822,57.450572340446826,4093280457,57.450572340446826
CAND_0016,Sai Kung,22.3703842,114.2478981,22.36946000000027,114.24612000000012,High Priority,0.25834421180316963,0.7642853260040283,0.4281023707586183,0.0,0.06884891248050436,0.0,0.0,0,0,11.021006267600614,3936.589905200551,1930.221676788008,38.3568577404399,2.039449640702019,2430.160347930432,12228195903,209.73844566375723
CAND_0017,Kwai Tsing,22.3487927,114.0874872,22.349480000000064,114.08843000000007,High Priority,0.257729830807032,0.7696176171302795,0.44824048263661653,0.0,0.08724471095870441,0.0,0.0,0,0,47.96851692114457,3736.4826998264657,1660.790209963557,100.25002563003812,2.249822209578449,3071.0141079742625,3080352396,123.45799259664228
CAND_0018,Kwai Tsing,22.3344197,114.1077724,22.335480000000047,114.10643000000016,High Priority,0.25028939876045597,0.6915825009346008,0.47190088711063155,0.0,0.07606968852327224,0.0,0.0,0,0,28.59641965291543,3858.043202470428,1902.0970630280767,100.86601494287244,2.028310372515138,2081.646048233761,598457054,181.55893112861855
CAND_0019,Sha Tin,22.394067,114.1881373,22.39517000000006,114.18831000000024,High Priority,0.24841286755703962,0.6887600421905518,0.4663248079639594,0.0,0.07277371561076018,0.0,0.0,0,0,57.146481549726836,3893.896385429193,1904.3744267340585,88.70429548493192,2.0447115497697066,2294.81708278138,1490642151,123.92649359520775
CAND_0020,Wan Chai,22.2739845,114.1684853,22.274040000000024,114.16916000000003,High Priority,0.2476795969785202,0.6851619482040405,0.46192363450563895,0.0,0.06881358552280271,0.0,0.0,0,0,75.84157375515407,3936.9741874478486,1574.7896749791394,72.92330852734877,2.5,1713.2372131040474,257171709,69.6988645038232
CAND_0021,Tuen Mun,22.3859813,113.9593983,22.38735000000008,113.95787000000044,Medium Priority,0.23518964844404217,0.7861505150794983,0.40874012096114176,0.0,0.08614239433373096,0.0,0.0,0,0,86.20350361272342,3748.4735628228304,1719.3199202351736,49.88226467671347,2.1802071381282566,1873.430580352368,1716515355,218.75310890371023
CAND_0022,Yuen Long,22.4107049,114.0650726,22.409220000000023,114.06623000000091,Medium Priority,0.22630809335424498,0.7776859402656555,0.40107040352645673,0.0,0.08559949821089366,0.0,0.0,0,0,75.76575880903331,3754.379119250736,1796.0427191392805,44.42586623938331,2.0903618155864083,3232.84437079649,3209882781,203.51444462892758
CAND_0023,Yuen Long,22.4705276,114.0680101,22.469220000000096,114.06623000000091,Medium Priority,0.22195521264292348,0.7573662996292114,0.4037520582601068,0.0,0.08383374705551103,0.0,0.0,0,0,89.30271955672332,3773.5867404642654,1626.486997909192,43.664949715605744,2.320084172400465,3159.227125451746,5113773769,233.6601440249867
CAND_0024,Yuen Long,22.4260697,114.0021006,22.42422000000004,114.0032300000006,Medium Priority,0.2144746668879807,0.7550339102745056,0.4007572796555558,0.0,0.08811142407523745,0.0,0.0,0,0,62.522441638264084,3727.054702459783,1842.694731698058,44.826980967313,2.02261103716581,1842.694731698058,1788866059,236.17635227855504
CAND_0025,Kwai Tsing,22.3451393,114.0907882,22.34648000000006,114.09143000000007,Medium Priority,0.19177152099752415,0.6876350045204163,0.4256676652165753,0.0,0.10093315353287514,0.0,0.0,0,0,80.3456754437912,3587.5815258607363,1748.4707011274131,103.24647169202744,2.051839658249615,3158.6945991381185,525275919,163.03781545685473
