district,lon,lat,nearest_stop_dist_m,road_nearest_stop_dist_m,effective_walk_dist_m,cell_population,terrain_penalty,nearest_ramp_dist_m,road_nearest_ramp_dist_m,is_remote_cell,distance_mode,remote_policy
Central & Western,114.14687000000018,22.25308,469.5109362922361,469.5109362922361,1098.3440637553024,116.29706528377655,2.3393364858101275,469.5109362922361,469.5109362922361,False,road_network,exclude_remote
Central & Western,114.14787000000018,22.25308,418.6440869540701,418.6440869540701,979.3493871803238,120.74944736945761,2.3393364858101275,418.6440869540701,418.6440869540701,False,road_network,exclude_remote
Central & Western,114.14587000000017,22.254080000000002,620.9351234658975,620.9351234658975,1243.7577805336505,111.4601726927611,2.003039824178925,620.9351234658975,620.9351234658975,False,road_network,exclude_remote
Central & Western,114.14687000000018,22.254080000000002,561.8246417397185,561.8246417397185,1185.8210591155741,113.1946329820589,2.1106604641683555,561.8246417397185,561.8246417397185,False,road_network,exclude_remote
Central & Western,114.14787000000018,22.254080000000002,526.4471747401165,526.4471747401165,1316.1179368502912,109.53047892234872,2.5,526.4471747401165,526.4471747401165,False,road_network,exclude_remote
Central & Western,114.14887000000019,22.254080000000002,523.1044170749459,523.1044170749459,1307.7610426873648,109.77862414272677,2.5,523.1044170749459,523.1044170749459,False,road_network,exclude_remote
Central & Western,114.14987000000019,22.254080000000002,552.7503976482775,552.7503976482775,1381.8759941206938,107.63287953222076,2.5,552.7503976482775,552.7503976482775,False,road_network,exclude_remote
Central & Western,114.14687000000018,22.255080000000003,662.8134102442858,662.8134102442858,1333.9554014453981,108.75709092695672,2.012565498567322,662.8134102442858,662.8134102442858,False,road_network,exclude_remote
Central & Western,114.14787000000018,22.255080000000003,636.02055604239,636.02055604239,1323.2662003303844,108.97537322855027,2.080539988462559,636.02055604239,636.02055604239,False,road_network,exclude_remote
Central & Western,114.14887000000019,22.255080000000003,633.554967636489,633.554967636489,1468.3983722640855,104.99538448321104,2.3177126646832633,633.554967636489,633.554967636489,False,road_network,exclude_remote
Central & Western,114.14987000000019,22.255080000000003,655.825531757991,655.825531757991,1639.5638293949776,101.02908130650863,2.5,655.825531757991,655.825531757991,False,road_network,exclude_remote
Central & Western,114.1508700000002,22.255080000000003,699.428833166819,699.428833166819,1612.2095137272875,101.41751611425448,2.305037249361957,699.428833166819,699.428833166819,False,road_network,exclude_remote
Central & Western,114.1518700000002,22.255080000000003,759.2565320531447,759.2565320531447,1737.1528766585488,98.60132146161048,2.2879656655189047,759.2565320531447,759.2565320531447,False,road_network,exclude_remote
Central & Western,114.14687000000018,22.256080000000004,767.7379554821127,767.7379554821127,1451.0774499171346,105.91192291200416,1.8900686615212459,767.7379554821127,767.7379554821127,False,road_network,exclude_remote
Central & Western,114.14787000000018,22.256080000000004,746.2688845948345,746.2688845948345,1731.6735476160877,98.7329184961382,2.3204418452422155,746.2688845948345,746.2688845948345,False,road_network,exclude_remote
Central & Western,114.14887000000019,22.256080000000004,744.3176276292444,744.3176276292444,1787.7584434066646,97.60434387066934,2.401875727572011,744.3176276292444,744.3176276292444,False,road_network,exclude_remote
Central & Western,114.14987000000019,22.256080000000004,762.0932672139993,762.0932672139993,1905.2331680349982,95.35003673987646,2.5,762.0932672139993,762.0932672139993,False,road_network,exclude_remote
Central & Western,114.1508700000002,22.256080000000004,797.7918613535776,797.7918613535776,1994.479653383944,93.6509631021814,2.5,797.7918613535776,797.7918613535776,False,road_network,exclude_remote
Central & Western,114.1518700000002,22.256080000000004,848.3875679870807,848.3875679870807,1941.0816266075262,94.50911453030814,2.2879656655189047,848.3875679870807,848.3875679870807,False,road_network,exclude_remote
Central & Western,114.1528700000002,22.256080000000004,859.6144660653473,859.6144660653473,1868.9936699994478,95.95131295964502,2.1742231474468556,811.3150254623008,811.3150254623008,False,road_network,exclude_remote
Central & Western,114.15387000000021,22.256080000000004,789.4111388241978,789.4111388241978,1284.7312451993162,112.04588856157615,1.6274551776820396,741.1116982211513,741.1116982211513,False,road_network,exclude_remote
Central & Western,114.14687000000018,22.257080000000006,874.7215276868106,874.7215276868106,2134.1450310729983,91.11808254976205,2.4397993687393473,874.7215276868106,874.7215276868106,False,road_network,exclude_remote
Central & Western,114.14787000000018,22.257080000000006,856.8441584846751,856.8441584846751,1876.5207082285099,95.78955501589994,2.1900373476865713,856.8441584846751,856.8441584846751,False,road_network,exclude_remote
Central & Western,114.14887000000019,22.257080000000006,855.2302917789079,855.2302917789079,1787.012754548084,97.70225900758317,2.0895105934929377,855.2302917789079,855.2302917789079,False,road_network,exclude_remote
Central & Western,114.14987000000019,22.257080000000006,870.0002537256736,870.0002537256736,2026.7480311011016,92.94133245701319,2.329594758647244,870.0002537256736,870.0002537256736,False,road_network,exclude_remote
Central & Western,114.1508700000002,22.257080000000006,900.0943699032904,900.0943699032904,2250.235924758226,89.26180209719487,2.5,900.0943699032904,900.0943699032904,False,road_network,exclude_remote
Central & Western,114.1518700000002,22.257080000000006,943.6148945465096,943.6148945465096,2160.6464497366624,90.66669052855276,2.2897544986029965,943.6148945465096,943.6148945465096,False,road_network,exclude_remote
Central & Western,114.1528700000002,22.257080000000006,940.7070513926769,940.7070513926769,1828.4175606234649,97.30433144387818,1.9436630754670863,892.4076107896303,892.4076107896303,False,road_network,exclude_remote
Central & Western,114.15387000000021,22.257080000000006,1037.6560250655975,1037.6560250655975,1680.3794931640875,102.54166589923457,1.6193993506257134,657.0657349483482,657.0657349483482,False,road_network,exclude_remote
Central & Western,114.14587000000017,22.258080000000007,1281.7867975569688,1281.7867975569688,3029.1223127360686,79.27798279198618,2.3632029277485516,1635.015776408287,1635.015776408287,False,road_network,exclude_remote
Central & Western,114.14687000000018,22.258080000000007,1239.40968475492,1239.40968475492,2733.074056157565,82.89033858432299,2.205141762062317,1592.638663606238,1592.638663606238,False,road_network,exclude_remote
Central & Western,114.14787000000018,22.258080000000007,1212.1298709690475,1212.1298709690475,2487.531413367422,86.44181071621975,2.052198756044799,1565.3588498203658,1565.3588498203658,False,road_network,exclude_remote
Central & Western,114.14887000000019,22.258080000000007,1202.081555733917,1202.081555733917,2409.8196208502477,87.6797909915029,2.0047055953528545,1555.310534585235,1555.310534585235,False,road_network,exclude_remote
Central & Western,114.14987000000019,22.258080000000007,1210.14871099753,1210.14871099753,2819.1560943235645,81.62328358035506,2.329594758647244,1563.3776898488481,1563.3776898488481,False,road_network,exclude_remote
Central & Western,114.1508700000002,22.258080000000007,1235.6171692578073,1235.6171692578073,3089.042923144518,78.49793382634577,2.5,1588.8461481091254,1588.8461481091254,False,road_network,exclude_remote
Central & Western,114.1518700000002,22.258080000000007,1089.4162252577548,1089.4162252577548,2494.4957026350394,85.71298626217965,2.2897544986029965,1442.645204109073,1442.645204109073,False,road_network,exclude_remote
Central & Western,114.1528700000002,22.258080000000007,1110.5829772429104,1110.5829772429104,2507.9427447439825,85.58035830672979,2.2582218493660893,1463.8119560942287,1463.8119560942287,False,road_network,exclude_remote
Central & Western,114.15387000000021,22.258080000000007,929.3520553750847,929.3520553750847,1504.9921149770842,106.38318993551329,1.6193993506257134,1673.7835944826231,1673.7835944826231,False,road_network,exclude_remote
Central & Western,114.15487000000022,22.258080000000007,912.5258138178029,912.5258138178029,1418.701249693936,109.19043894775993,1.5546971145489121,1656.9573529253414,1656.9573529253414,False,road_network,exclude_remote
Central & Western,114.15787000000023,22.258080000000007,939.7126752929078,939.7126752929078,1488.3435866803204,107.15503034086038,1.5838283613833397,559.1223851756585,559.1223851756585,False,road_network,exclude_remote
Central & Western,114.15887000000023,22.258080000000007,935.6290828228355,935.6290828228355,1617.6121955503268,102.8611439377682,1.7289032857656768,555.0387927055862,555.0387927055862,False,road_network,exclude_remote
Central & Western,114.14487000000017,22.259080000000008,1249.689052444191,1249.689052444191,3103.1463980187796,78.36477756211863,2.4831348181769886,1602.918031295509,1602.918031295509,False,road_network,exclude_remote
Central & Western,114.14587000000017,22.259080000000008,1186.5235081800813,1186.5235081800813,2966.308770450203,79.80541868374338,2.5,1539.7524870313996,1539.7524870313996,False,road_network,exclude_remote
Central & Western,114.14687000000018,22.259080000000008,1136.3558884338086,1136.3558884338086,2840.8897210845216,81.22255268347496,2.5,1489.5848672851268,1489.5848672851268,False,road_network,exclude_remote
Central & Western,114.14787000000018,22.259080000000008,1103.2689405206904,1103.2689405206904,2483.688201425833,85.916995338378,2.2512083048886073,1456.4979193720087,1456.4979193720087,False,road_network,exclude_remote
Central & Western,114.14887000000019,22.259080000000008,1090.8932030407063,1090.8932030407063,2409.485841020351,87.0125079359413,2.2087275219098066,1444.1221818920244,1444.1221818920244,False,road_network,exclude_remote
Central & Western,114.14987000000019,22.259080000000008,1100.8375260706975,1100.8375260706975,2396.114767481107,87.26864232548944,2.1766288945778767,1454.0665049220158,1454.0665049220158,False,road_network,exclude_remote
Central & Western,114.1508700000002,22.259080000000008,1131.7972118297657,1131.7972118297657,2498.6502941020203,85.80214572863707,2.2076837334335506,1485.0261906810838,1485.0261906810838,False,road_network,exclude_remote
Central & Western,114.1518700000002,22.259080000000008,979.3481170195776,979.3481170195776,2193.0770494690555,90.18802472006878,2.2393232920518447,1332.5770958708958,1332.5770958708958,False,road_network,exclude_remote
