osm_id,osm_type,lat,lon,ramp,kerb,wheelchair,highway
32945314,node,22.420459,114.074318,,,yes,
253288941,node,22.277386,114.1732833,,,yes,
256361587,node,22.254204,114.159447,,,yes,
257006964,node,22.24113,114.2192792,,,yes,
288372602,node,22.2804141,114.1505982,,lowered,,crossing
289867127,node,22.2803799,114.150725,,lowered,,crossing
291158245,node,22.4332,114.032385,,,yes,
291158246,node,22.44006,114.02403,,,yes,
297147649,node,22.4436774,114.1703146,,,yes,bus_stop
297147717,node,22.502382,114.237213,,,yes,
297188947,node,22.2772889,114.1730116,,,yes,
333383083,node,22.3348737,114.1572049,,,yes,
339266174,node,22.2839626,114.1469228,,,yes,
361384199,node,22.2955588,114.2687519,,,yes,
478654878,node,22.2810504,114.2192021,,lowered,,
489414265,node,22.3953565,113.9734402,,,yes,
490734866,node,22.448765,114.03207,,,yes,
519832997,node,22.3207086,114.1900897,,lowered,,crossing
558546664,node,22.4492616,114.165656,,lowered,,
571171838,node,22.3337973,114.1483059,,,yes,bus_stop
571174375,node,22.3350196,114.1476558,,,yes,bus_stop
582596617,node,22.438561,114.026291,,,yes,
624015090,node,22.277933,114.209435,,,yes,
631803189,node,22.4401367,114.0633251,,lowered,,traffic_signals
631803346,node,22.4385723,114.0626431,,lowered,,traffic_signals
660415685,node,22.355571,114.247837,,,yes,
660415811,node,22.2783228,114.1784932,,,yes,bus_stop
727297126,node,22.2966842,114.0173971,,,yes,
738427429,node,22.3219881,113.9422214,,,yes,
994194763,node,22.3173539,114.2268303,,lowered,,
998477262,node,22.3345036,114.1964921,,,yes,
998478613,node,22.341123,114.1946597,,flush,,crossing
1001072718,node,22.3848927,114.1984677,,,yes,
1001072832,node,22.3824045,114.1955364,,,yes,
1001072856,node,22.3851481,114.1982233,,,yes,
1011184193,node,22.2854105,114.1920194,,,yes,
1012267750,node,22.3822316,114.195795,,,yes,
1012751994,node,22.2804027,114.182295,,flush,,crossing
1013426289,node,22.2797,114.18111,,,yes,
1022129722,node,22.2967648,114.017548,,,yes,
1022477187,node,22.2877118,114.1575062,,,yes,
1022480945,node,22.2853825,114.1550295,,,yes,
1023011855,node,22.3060808,114.2336331,,,yes,
1025363926,node,22.2763417,114.1760616,,,yes,
1026550252,node,22.2755644,114.1704512,,lowered,,
