lat,lon,elevation_m
22.571468634548552,113.82422325078652,0.0
22.571472889447364,113.82616791859063,0.0
22.571477120817235,113.82811258686183,0.0
22.571481328658137,113.83005725559754,0.0
22.571485512970057,113.83200192479522,0.0
22.57148967375296,113.83394659445224,0.0
22.57149381100685,113.83589126456604,0.0
22.571497924731663,113.83783593513407,0.0
22.57150201492741,113.83978060615368,0.0
22.57150608159407,113.84172527762233,0.0
22.571510124731592,113.84366994953744,0.0
22.57151414433998,113.84561462189644,0.0
22.571518140419194,113.84755929469672,0.0
22.57152211296922,113.8495039679357,0.0
22.57152606199005,113.85144864161082,0.0
22.57152998748164,113.85339331571949,0.0
22.571533889443977,113.85533799025912,0.0
22.57153776787705,113.85728266522715,0.0
22.571541622780828,113.85922734062098,0.0
22.57154545415529,113.86117201643802,0.0
22.571549262000413,113.8631166926757,0.0
22.57155304631619,113.86506136933147,0.0
22.57155680710258,113.8670060464027,0.0
22.571560544359578,113.86895072388685,0.0
22.571564258087157,113.87089540178128,0.0
22.5715679482853,113.87284008008348,0.0
22.57157161495399,113.87478475879084,0.0
22.5715752580932,113.87672943790076,0.0
22.57157887770291,113.87867411741067,0.0
22.571582473783103,113.88061879731801,0.0
22.571586046333767,113.88256347762015,0.0
22.571589595354865,113.88450815831456,0.0
22.571593120846394,113.88645283939864,0.0
22.571596622808332,113.8883975208698,0.0
22.571600101240648,113.89034220272546,0.0
22.57160355614334,113.89228688496307,0.0
22.57160698751638,113.89423156758,0.0
22.57161039535975,113.89617625057372,0.0
22.57161377967343,113.89812093394157,0.0
22.571617140457406,113.90006561768105,0.0
22.571620477711644,113.90201030178955,0.0
22.571623791436153,113.90395498626447,0.0
22.571627081630897,113.90589967110328,0.0
22.571630348295873,113.90784435630334,0.0
22.571633591431038,113.90978904186211,0.0
22.571636811036395,113.91173372777699,0.0
22.571640007111924,113.91367841404539,0.0
22.571643179657592,113.91562310066475,0.0
22.571646328673406,113.91756778763246,0.0
22.571649454159342,113.91951247494598,0.0
22.571652556115367,113.9214571626027,0.0
22.571655634541486,113.92340185060004,0.0
22.57165868943766,113.92534653893543,0.0
22.571661720803878,113.92729122760628,0.0
22.571664728640137,113.92923591660998,0.0
